id_actif,actif,famille,groupe,site,zone,localisation,source,corrective_count,preventive_count,total_maintenance_count
168538,Lavabo 1,Equipement plomberie et sanitaire,Lavabo,MEDHUB,ZFL01,Entrepôt 60,corrective,1,0,1
171711,Armoire électrique 1,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171712,Armoire électrique 1,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171713,Armoire électrique 2,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171714,Armoire électrique 1,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171715,Armoire électrique 1,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171716,Armoire électrique 2,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171717,Armoire électrique 3,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171718,Armoire électrique 4,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171719,Armoire électrique 1,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171720,Armoire électrique 2,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171721,Armoire électrique 3,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171722,Armoire électrique 1,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
171723,Armoire électrique 2,Equipement électrique,Armoire électrique ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,2,2
172027,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,1,1
172028,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,1,1
172029,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,1,1
172030,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,1,1
172261,Mono split 1,Equipement climatisation et VMC,Mono split ,MEDHUB,ZFL01,Entrepôt 61,preventive,0,1,1
173486,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM2,TM02,Gendarmerie,preventive,0,3,3
173512,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,Gendarmerie,preventive,0,3,3
173513,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,Gendarmerie,preventive,0,3,3
173514,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,Gendarmerie,preventive,0,3,3
173515,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,Gendarmerie,preventive,0,3,3
173516,Climatiseur cassette 1,Equipement climatisation et VMC,Climatiseur cassette ,TM2,TM02,Gendarmerie,preventive,0,3,3
173596,Ventilo-convecteur 1,Equipement climatisation et VMC,Ventilo-convecteur ,TM2,TM02,Gendarmerie,preventive,0,1,1
173597,Ascenseur 4,Equipement  de levage,Ascenseur ,PPR,PPR01,Flemingo,preventive,0,3,3
173598,Ascenseur 3,Equipement  de levage,Ascenseur ,PPR,PPR01,Flemingo,preventive,0,3,3
173599,Ascenseur 1,Equipement  de levage,Ascenseur ,PPR,PPR01,Flemingo,"corrective, preventive",1,3,4
173600,Ascenseur 2,Equipement  de levage,Ascenseur ,PPR,PPR01,Flemingo,preventive,0,3,3
173731,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173732,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,"corrective, preventive",3,3,6
173733,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173734,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173735,Armoire électrique 3,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173736,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,"corrective, preventive",2,3,5
173737,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173738,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173739,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173740,Armoire électrique 3,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,"corrective, preventive",1,3,4
173741,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,"corrective, preventive",2,3,5
173742,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173743,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173744,Armoire électrique 3,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,"corrective, preventive",1,3,4
173745,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173746,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173747,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173748,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173749,Armoire électrique 2,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173750,Armoire électrique 3,Equipement électrique,Armoire électrique ,TM1,TM01,Dalle centrale,preventive,0,3,3
173873,Caisson lumineux 4,Equipement éclairage,Caisson lumineux,TM1,TM01,Dalle centrale,corrective,1,0,1
174034,Cloison -,Equipement lot archi / Menuiserie ,Cloison,TM1,TM01,Dalle centrale,corrective,1,0,1
174068,Cloison -,Equipement lot archi / Menuiserie ,Cloison,TM1,TM01,Dalle centrale,corrective,1,0,1
174132,Dalle -,Element de structure ,Dalle,TM1,TM01,Dalle centrale,corrective,2,0,2
174211,"Distributeur papier, serviette 1",Equipement plomberie et sanitaire,"Distributeur papier, serviette",TM1,TM01,Dalle centrale,corrective,1,0,1
174218,Distributeur savon 1,Equipement plomberie et sanitaire,Distributeur savon,TM1,TM01,Dalle centrale,corrective,1,0,1
174443,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174444,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174445,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174446,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174447,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174448,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174449,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174450,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174451,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174452,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174453,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174454,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174455,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174457,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174458,Mono split 1,Equipement climatisation et VMC,Mono split ,TM1,TM01,Dalle centrale,preventive,0,3,3
174609,Porte coupe feu 1,Equipement lot archi / Menuiserie ,Porte coupe feu ,TM1,TM01,Dalle centrale,corrective,1,0,1
174671,Porte Vitrée 1,Equipement lot archi / Menuiserie ,Porte vitrée,TM1,TM01,Dalle centrale,corrective,1,0,1
174744,Prise de courant 2,Equipement électrique,Prise de courant ,TM1,TM01,Dalle centrale,corrective,1,0,1
174773,Prise de courant 2,Equipement électrique,Prise de courant ,TM1,TM01,Dalle centrale,corrective,1,0,1
174774,Prise de courant 3,Equipement électrique,Prise de courant ,TM1,TM01,Dalle centrale,corrective,1,0,1
174809,RIA ( Robinet Incendie Armé ) 1,Equipement de sécurité et incendie,RIA ( Robinet Incendie Armé ),TM1,TM01,Dalle centrale,corrective,1,0,1
174926,Spot 2,Equipement éclairage,Spot,TM1,TM01,Dalle centrale,corrective,1,0,1
174930,Spot 1,Equipement éclairage,Spot,TM1,TM01,Dalle centrale,corrective,1,0,1
174939,Spot 2,Equipement éclairage,Spot,TM1,TM01,Dalle centrale,corrective,1,0,1
174952,Spot 1,Equipement éclairage,Spot,TM1,TM01,Dalle centrale,corrective,1,0,1
174964,WC Sanitaire 1,Equipement plomberie et sanitaire,WC Sanitaire,TM1,TM01,Dalle centrale,corrective,1,0,1
174968,Armoire électrique 1,Equipement électrique,Armoire électrique ,TM1,SAS IMPORT,Sanitaire 2 Sas Import,preventive,0,3,3
175004,Dalle -,Element de structure ,Dalle,TM1,SAS IMPORT,Sanitaire 2 Sas Import,corrective,1,0,1
175047,Lavabo 2,Equipement plomberie et sanitaire,Lavabo,TM1,SAS IMPORT,Sanitaire 2 Sas Import,corrective,1,0,1
175065,Porte Vitrée 1,Equipement lot archi / Menuiserie ,Porte vitrée,TM1,SAS IMPORT,Sanitaire 2 Sas Import,corrective,1,0,1
175103,WC Sanitaire 2,Equipement plomberie et sanitaire,WC Sanitaire,TM1,SAS IMPORT,Sanitaire 2 Sas Import,corrective,1,0,1
