article,total_demand,avg_demand_per_request,demand_std,current_stock,famille,total_cost,daily_demand,reorder_point,needs_reorder,suggested_order_qty
Tube LED (T8) 9W 6500K	,28.0,14.0,8.48528137423857,30,ELECTRICITE,3360.0,0.029227557411273485,12.93251496323677,False,0.0
Tube LED (T8) 9W 6500K,1098.0,8.578125,23.298004164123068,143,ELECTRICITE,131760.0,1.1461377870563674,42.96997075557917,False,0.0
Tube LED (T8) 18W 6500K MEDHUB,120.0,12.0,6.599663291074443,14,ELECTRICITE,14400.0,0.12526096033402923,10.77632165894987,False,8.0
Tube LED (T8) 18W 6500K	,1163.0,13.523255813953488,20.452370346841892,291,ELECTRICITE,139560.0,1.2139874739039667,39.17646783759061,False,0.0
Tube LED (T8) 18W 6500K,6.0,2.0,0.0,227,ELECTRICITE,180.0,0.006263048016701462,0.04384133611691023,False,0.0
kit de fixation de robinet de lavabo,21.0,1.3125,0.47871355387816905,11,PLOMBERIE,252.0,0.021920668058455117,0.8715150072264394,False,0.0
Tube 75 PVC HP,58.0,6.444444444444445,4.216370213557839,12,PLOMBERIE,2900.0,0.060542797494780795,6.748354902800225,False,1.0
Tube 75 PEHDHP,131.0,26.2,23.08029462550251,94,PLOMBERIE,1310.0,0.13674321503131523,35.57764444347297,False,0.0
Gond à vis epiton rond,141.0,14.1,12.151360234786702,62,DIVERS,423.0,0.14718162839248433,19.257311750927446,False,0.0
Détecteur de chaleur thermostatique interactif IQ8Quad TM (Marque Esser),2.0,1.0,0.0,8,INCENDIE,1300.0,0.0020876826722338203,0.014613778705636741,False,0.0
Tube 40 PEHD HP,330.0,55.0,80.60521074967797,399,PLOMBERIE,3300.0,0.3444676409185804,123.31908961094702,False,0.0
Y pvc Ø50,6.0,1.0,0.0,11,PLOMBERIE,18.0,0.006263048016701462,0.04384133611691023,False,0.0
"Faux plafond suspandu 1,350*300MM*19MM",34.0,8.5,5.066228051190222,16,DIVERS,2720.0,0.03549060542797495,7.847776314781156,False,0.0
Fusible 80A - AM  Ø22*58,3.0,1.5,0.7071067811865476,5,ELECTRICITE,39.0,0.003131524008350731,1.0825808398382766,False,0.0
FLEXIBLE 60CM MEDHUB,21.0,1.3125,1.0144785195688801,20,PLOMBERIE,8400.0,0.021920668058455117,1.6751624557625062,False,0.0
"Fusible ACR, tipo NT 1. In=125A. 500V- 50Hz. gL. 120kA",2.0,1.0,0.0,4,CLIMATISATION,192.0,0.0020876826722338203,0.014613778705636741,False,0.0
ECROUS Ø14,204.0,68.0,55.42562584220407,296,DIVERS,408.0,0.21294363256784968,84.62904419128105,False,0.0
ECROUS Ø10,268.0,44.666666666666664,42.19320640419103,450,DIVERS,321.6,0.2797494780793319,65.24805595284187,False,0.0
Tube multicouches RETUBE MEDHUB,1.0,1.0,0.0,15,PLOMBERIE,10.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Tube multicouches RETUBE,748.0,44.0,55.61249859518992,172,PLOMBERIE,7480.0,0.7807933194154488,88.88430112869302,False,6.0
Détecteurs optiques CAP320,4.0,4.0,0.0,11,INCENDIE,1344.0,0.0041753653444676405,0.029227557411273482,False,0.0
Verrou porte manuel,88.0,2.1463414634146343,2.2974004397335275,43,MENUISERIE,39600.0,0.0918580375782881,4.089106922648308,False,0.0
Boite mural de prise carrée,12.0,1.7142857142857142,1.2535663410560174,2,ELECTRICITE,96.0,0.012526096033402923,1.9680321838178465,False,2.0
Détecteurs optique de fumée FDO500 (avec socle),6.0,3.0,1.4142135623730951,7,INCENDIE,1980.0,0.006263048016701462,2.165161679676553,False,0.0
Détecteurs optique adressable CAP112A (avec socle),5.0,2.5,0.7071067811865476,10,INCENDIE,2395.0,0.005219206680584551,1.0971946185439132,False,0.0
Gaz 134 12 KG,3.0,3.0,0.0,1,CLIMATISATION,60.0,0.003131524008350731,0.021920668058455117,False,0.0
"câble électrique U1000 R2V 5G2,5mm",100.0,100.0,0.0,200,ELECTRICITE,2800.0,0.10438413361169102,0.7306889352818371,False,0.0
Verrou porte manuel	TMSA,2.0,2.0,0.0,70,MENUISERIE,900.0,0.0020876826722338203,0.014613778705636741,False,0.0
Détecteur thermo vélocimétrique adressable TFDA-TR1 (Marque Techno Fire),2.0,2.0,0.0,8,INCENDIE,1000.0,0.0020876826722338203,0.014613778705636741,False,0.0
Détecteur optiques CAP112,3.0,3.0,0.0,1,INCENDIE,1440.0,0.003131524008350731,0.021920668058455117,False,0.0
Anodes sacrificielles boulonnées en Zinc type NZ3,2.0,2.0,0.0,8,ELECTRONIQUE,2900.0,0.0020876826722338203,0.014613778705636741,False,0.0
Verrou porte manuel MEDHUB,4.0,1.3333333333333333,0.5773502691896257,8,MENUISERIE,1800.0,0.0041753653444676405,0.8952529611957121,False,0.0
Y pvc Ø40,3.0,1.5,0.7071067811865476,14,PLOMBERIE,9.0,0.003131524008350731,1.0825808398382766,False,0.0
Cylindre de serrure spécial 8CM,76.0,1.4074074074074074,1.6992619765209116,8,MENUISERIE,11400.0,0.07933194154488518,3.1042165555955634,False,0.0
Cadenas passe partout clidor y compris clés,51.0,5.1,6.332456079595025,165,DIVERS,6885.0,0.05323590814196242,9.871335476386275,False,0.0
Condensateur de démarrage,28.0,1.4736842105263157,0.9048278567177281,7,CLIMATISATION,168.0,0.029227557411273485,1.5618346869555066,False,0.0
Prise RJ45 LAP,1.0,1.0,0.0,4,ELECTRICITE,25.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Condensateur de démarrage de 30 µf ,3.0,1.0,0.0,27,CLIMATISATION,96.0,0.003131524008350731,0.021920668058455117,False,0.0
Condensateur de démarrage de 35 µf ,8.0,1.1428571428571428,0.37796447300922725,30,CLIMATISATION,256.0,0.008350730688935281,0.6254018243363878,False,0.0
Condensateur de marche de ventilo convecteur,1.0,1.0,0.0,4,CLIMATISATION,87.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Câble en acier galvanisé de porte sectionnelle Ø4mm/ML ,165.0,13.75,9.677762701631554,220,ELECTROMECANIQUE,1155.0,0.1722338204592902,15.722280795662362,False,0.0
Connecteur pour câble torsadé - CEGELEC -,7.0,3.5,2.1213203435596424,25,ELECTRICITE,126.0,0.007306889352818371,3.2331287408091924,False,0.0
Connecteur pour detecteur inductif,3.0,1.0,0.0,6,ELECTROMECANIQUE,702.0,0.003131524008350731,0.021920668058455117,False,0.0
Câble en acier de diamètre 4mm,70.0,10.0,3.2145502536643185,430,MECANIQUE,350.0,0.07306889352818371,5.333307635193764,False,0.0
Pompe de surculation d'eau glacée de Circuite hydraulique de PAC,2.0,1.0,0.0,2,CLIMATISATION,11484.0,0.0020876826722338203,0.014613778705636741,False,0.0
Contacteur de démarrage du compresseur de PAC,1.0,1.0,0.0,3,CLIMATISATION,1010.0,0.0010438413361169101,0.0073068893528183704,False,0.0
Manomètre de pression de Circuite hydraulique de PAC,3.0,1.5,0.7071067811865476,5,CLIMATISATION,471.0,0.003131524008350731,1.0825808398382766,False,0.0
Poignée porte coupe-feu,3.0,1.5,0.7071067811865476,7,DIVERS,2250.0,0.003131524008350731,1.0825808398382766,False,0.0
Contre bardage lot 120 (similaire à l'existant),6.0,6.0,0.0,6,DIVERS,2016.0,0.006263048016701462,0.04384133611691023,False,0.0
Poignée porte bois (Pair),6.0,3.0,0.0,12,MENUISERIE,2790.0,0.006263048016701462,0.04384133611691023,False,0.0
Manomètre à glycérine 0 - 16 bar Boîtier en acier 1/4,12.0,1.5,0.7559289460184544,9,HYDRAULIQUE,1476.0,0.012526096033402923,1.221576091261502,False,0.0
