article,total_cost,total_quantity,request_count,cumulative_cost,cumulative_pct
Batterie plomb-étanche (sans entretien) 12V-25Ah/C20 avec leurs connectiques,8694.0,18.0,5,12086777.200000001,90.37580847845675
Socle universelle pour Détecteur (Marque Techno Fire),8643.0,129.0,13,12095420.200000001,90.44043431706982
Vernis de bois (Marron),8604.0,239.0,11,12104024.200000001,90.50476854308242
Module d'incendie multiples entrées sorties : IO500 input / Ouput module,8500.0,1.0,1,12112524.200000001,90.56832513549374
Déclencheur manuel IQ8MCP (avec socle),8451.0,9.0,4,12120975.200000001,90.63151534284293
Guide de câble DRH10GH10,8400.0,1.0,1,12129375.200000001,90.69432421063765
Câble R2V 5x6mm²,8400.0,120.0,1,12137775.200000001,90.75713307843236
FLEXIBLE 60CM MEDHUB,8400.0,21.0,16,12146175.200000001,90.81994194622709
Alimentation Electrique de Sécurité AES 24 Vcc/5 A en coffret avec batteries 24 Ah,8200.0,1.0,1,12154375.200000001,90.88125536478859
Batterie de démarrage 12v-140Ah-800A avec leur connectiques (sans entretien),8172.0,6.0,2,12162547.200000001,90.94235942045746
Batterie de démarrage 12v-50Ah-1000A avec leur connectiques (sans entretien),8172.0,6.0,3,12170719.200000001,91.00346347612633
Cable rigide R2V 3G4mm²,8160.0,170.0,3,12178879.200000001,91.06447780484119
Gaz R22 13 KG MEDHUB,8000.0,8.0,4,12186879.200000001,91.12429577416951
Resistance préchauffage réf :187_305VAC/DC 20_28VDC (Power AC2500W/DC 7W),8000.0,1.0,1,12194879.200000001,91.1841137434978
Climatiseur 9000 BTU TRANE,8000.0,2.0,2,12202879.200000001,91.24393171282611
Fourniture de photocellule escalator Schindler.,8000.0,1.0,1,12210879.200000001,91.30374968215442
Indicateur de pesage Baxtran GI400i,8000.0,2.0,1,12218879.200000001,91.36356765148273
BAGUETTE DE SOUDURE INOX 316L 4MM,7920.0,44.0,1,12226799.200000001,91.42278744111773
Aérosol dégripant,7840.0,56.0,9,12234639.200000001,91.48140905105949
Bloc autonome d'éclairage de sécurité MEDHUB,7750.0,31.0,13,12242389.200000001,91.53935770884628
"Réglette Philips 600mm, Réf: WT198C LED19S/865 PSU L600",7700.0,22.0,3,12250089.200000001,91.59693250432477
Panneau sandwich Standard,7600.0,4.0,2,12257689.200000001,91.65375957518665
Poignée fenêtre aluminium  MEDHUB,7560.0,21.0,4,12265249.200000001,91.7102875562019
"Câble capotin 5G2,5 MEDHUB",7500.0,150.0,6,12272749.200000001,91.76636690244719
Tube multicouches RETUBE,7480.0,748.0,17,12280229.200000001,91.82229670376915
Collier de serrage cloture,7350.0,245.0,2,12287579.200000001,91.87725446308954
Parachute pour rail 52x26mm,7200.0,6.0,3,12294779.200000001,91.93109063548502
Parachute de sécurité ,7200.0,6.0,3,12301979.200000001,91.98492680788048
Robinet simple de lavabo,7182.0,38.0,35,12309161.200000001,92.03862838984497
